period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2007-08,20,0.6861,0.7539,20,0.6861,8.9988,8.9988,True,100.0
2007-09,20,0.7829,0.843,20,0.7829,7.1234,7.1234,True,100.0
2007-10,25,0.7953,0.7953,29,0.7699,0.0,3.1989,False,0.0
2007-11,28,0.7529,0.7057,26,0.6766,-6.6905,4.1248,False,-162.2
2007-12,20,0.8061,0.8054,31,0.7797,-0.0854,3.1872,False,-2.68
2008-01,18,0.5693,0.5718,22,0.5409,0.4409,5.4108,True,8.15
2008-02,21,0.488,0.5237,21,0.488,6.8271,6.8271,True,100.0
2008-03,19,0.4048,0.4444,19,0.4048,8.9221,8.9221,True,100.0
2008-04,18,0.4359,0.4618,18,0.4359,5.6079,5.6079,True,100.0
2008-05,21,0.5292,0.5354,21,0.5292,1.1558,1.1558,True,100.0
2008-06,27,0.4419,0.4419,30,0.4291,0.0,2.9046,False,0.0
2008-07,24,0.2528,0.265,24,0.2528,4.5848,4.5848,True,100.0
2008-08,26,0.3,0.3023,29,0.2897,0.7582,4.1698,True,18.18
2008-09,29,0.2315,0.2629,29,0.2315,11.9442,11.9442,True,100.0
2008-10,24,0.1515,0.1597,23,0.1499,5.165,6.1693,True,83.72
2008-11,20,0.1352,0.1602,20,0.1352,15.5937,15.5937,True,100.0
2008-12,23,0.1813,0.1721,26,0.1721,-5.3262,0.0,False,0.0
2009-01,20,0.1653,0.1934,20,0.1653,14.5735,14.5735,True,100.0
2009-02,23,0.1664,0.1898,23,0.1664,12.3188,12.3188,True,100.0
2009-03,30,0.2244,0.2397,20,0.2184,6.4054,8.891,True,72.04
2009-04,20,0.2533,0.2526,29,0.2494,-0.2722,1.2704,False,-21.43
2009-05,18,0.2125,0.2377,18,0.2125,10.6075,10.6075,True,100.0
2009-06,22,0.2418,0.2617,23,0.2407,7.6182,8.0561,True,94.56
2009-07,20,0.2801,0.2984,21,0.2743,6.1444,8.0645,True,76.19
2009-08,21,0.3193,0.3211,19,0.3021,0.571,5.9243,True,9.64
2009-09,25,0.3323,0.3323,25,0.3323,0.0,0.0,False,0.0
2009-10,30,0.2741,0.2874,30,0.2741,4.6252,4.6252,True,100.0
2009-11,19,0.2975,0.2931,27,0.2931,-1.4855,0.0,False,0.0
2009-12,29,0.413,0.408,18,0.3855,-1.236,5.5056,False,-22.45
2010-01,29,0.3527,0.3816,29,0.3527,7.5676,7.5676,True,100.0
2010-02,23,0.3715,0.3759,26,0.3713,1.1585,1.2195,True,95.0
2010-03,29,0.4025,0.3974,19,0.3954,-1.2688,0.519,False,-244.44
2010-04,30,0.3601,0.3697,30,0.3601,2.6038,2.6038,True,100.0
2010-05,18,0.2879,0.3094,24,0.2833,6.963,8.4445,True,82.46
2010-06,24,0.2546,0.2539,30,0.234,-0.2707,7.852,False,-3.45
2010-07,29,0.2093,0.2397,29,0.2093,12.7151,12.7151,True,100.0
2010-08,30,0.2209,0.2319,18,0.2136,4.7431,7.9051,True,60.0
2010-09,24,0.281,0.275,20,0.2455,-2.1667,10.75,False,-20.15
2010-10,19,0.2588,0.276,21,0.2542,6.2293,7.8904,True,78.95
2010-11,30,0.3119,0.3117,18,0.3053,-0.0735,2.0588,False,-3.57
2010-12,29,0.3424,0.3438,20,0.328,0.4,4.6,True,8.7
2011-01,28,0.5446,0.5608,21,0.5093,2.9015,9.1949,True,31.56
2011-02,23,0.5068,0.5299,23,0.5068,4.3685,4.3685,True,100.0
2011-03,21,0.4071,0.427,22,0.3999,4.6699,6.3339,True,73.73
2011-04,26,0.4423,0.4423,19,0.413,0.0,6.6321,False,0.0
2011-05,19,0.4075,0.4469,19,0.4075,8.8205,8.8205,True,100.0
2011-06,20,0.358,0.3532,27,0.3532,-1.3627,0.0,False,0.0
2011-07,18,0.3163,0.3177,18,0.3163,0.4329,0.4329,True,100.0
2011-08,19,0.2688,0.286,19,0.2688,6.0097,6.0097,True,100.0
2011-09,30,0.2867,0.3172,30,0.2867,9.6098,9.6098,True,100.0
2011-10,19,0.3477,0.3495,20,0.3303,0.5246,5.5082,True,9.52
2011-11,18,0.3193,0.3218,18,0.3193,0.7834,0.7834,True,100.0
2011-12,19,0.3016,0.3222,19,0.3016,6.4012,6.4012,True,100.0
2012-01,18,0.3204,0.3417,18,0.3204,6.2374,6.2374,True,100.0
2012-02,23,0.3647,0.3546,29,0.3472,-2.8442,2.0685,False,-137.5
2012-03,20,0.33,0.3397,20,0.33,2.834,2.834,True,100.0
2012-04,24,0.2938,0.2975,24,0.2938,1.2327,1.2327,True,100.0
2012-05,21,0.2817,0.2842,18,0.2769,0.8871,2.5807,True,34.37
2012-06,21,0.2943,0.3012,18,0.2842,2.283,5.6316,True,40.54
2012-07,24,0.2943,0.309,20,0.2936,4.7477,4.9703,True,95.52
2012-08,31,0.3216,0.3289,31,0.3216,2.2299,2.2299,True,100.0
2012-09,20,0.3119,0.3044,26,0.3021,-2.4849,0.753,False,-329.99
2012-10,22,0.2743,0.2792,22,0.2743,1.7242,1.7242,True,100.0
2012-11,19,0.2682,0.2805,20,0.265,4.3997,5.5099,True,79.85
2012-12,18,0.2897,0.2805,28,0.2791,-3.2895,0.4934,False,-666.67
2013-01,22,0.2793,0.2863,22,0.2793,2.4175,2.4175,True,100.0
2013-02,26,0.2871,0.2924,21,0.2835,1.8254,3.0551,True,59.75
2013-03,21,0.2883,0.2936,25,0.288,1.8182,1.8972,True,95.83
2013-04,19,0.2917,0.3126,18,0.291,6.6816,6.9042,True,96.78
2013-05,31,0.3375,0.3389,22,0.3359,0.4129,0.8947,True,46.15
2013-06,24,0.3294,0.3268,27,0.3268,-0.7852,0.0,False,0.0
2013-07,25,0.3326,0.3326,29,0.3305,0.0,0.6311,False,0.0
2013-08,30,0.3458,0.347,30,0.3458,0.3378,0.3378,True,100.0
2013-09,30,0.3648,0.3653,30,0.3648,0.1284,0.1284,True,100.0
2013-10,29,0.3571,0.3573,31,0.3561,0.0656,0.3281,True,20.01
2013-11,21,0.3614,0.3701,22,0.3578,2.3567,3.3121,True,71.16
2013-12,19,0.3625,0.3715,18,0.3611,2.4112,2.7919,True,86.36
2014-01,24,0.3668,0.3644,27,0.3644,-0.6469,0.0,False,0.0
2014-02,28,0.4352,0.438,18,0.4219,0.6487,3.6782,True,17.64
2014-03,26,0.4269,0.4212,27,0.4212,-1.349,0.0,False,0.0
2014-04,30,0.4373,0.4435,30,0.4373,1.3882,1.3882,True,100.0
2014-05,21,0.4339,0.4477,20,0.4339,3.0818,3.0818,True,100.0
2014-06,26,0.4367,0.4372,26,0.4367,0.1088,0.1088,True,100.0
2014-07,25,0.4232,0.4232,31,0.4163,0.0,1.6301,False,0.0
2014-08,25,0.4566,0.4594,21,0.4556,0.624,0.8321,True,75.0
2014-09,30,0.4408,0.4422,30,0.4408,0.3242,0.3242,True,100.0
2014-10,22,0.4274,0.4418,20,0.4198,3.245,4.9757,True,65.22
2014-11,18,0.4819,0.4935,19,0.4801,2.3578,2.7224,True,86.61
2014-12,31,0.4811,0.494,31,0.4811,2.6226,2.6226,True,100.0
2015-01,28,0.4633,0.471,30,0.4607,1.6302,2.1905,True,74.42
2015-02,27,0.5313,0.5313,18,0.5307,0.0,0.1126,False,0.0
2015-03,31,0.5041,0.515,31,0.5041,2.1048,2.1048,True,100.0
2015-04,27,0.5347,0.5347,24,0.5306,0.0,0.7657,False,0.0
2015-05,19,0.5091,0.5285,26,0.5016,3.663,5.0824,True,72.07
2015-06,29,0.4868,0.5123,30,0.4866,4.9599,5.0071,True,99.06
2015-07,20,0.4767,0.4672,27,0.4672,-2.0197,0.0,False,0.0
2015-08,25,0.4928,0.5499,25,0.4928,10.3845,10.3845,True,100.0
2015-09,22,0.5562,0.5737,22,0.5562,3.0495,3.0495,True,100.0
2015-10,29,0.6726,0.6911,21,0.666,2.6723,3.6216,True,73.79
2015-11,19,0.7591,0.7656,23,0.7542,0.8601,1.4973,True,57.45
2015-12,18,0.7839,0.8083,18,0.7839,3.0175,3.0175,True,100.0
2016-01,19,0.6666,0.6917,19,0.6666,3.6319,3.6319,True,100.0
2016-02,18,0.7327,0.7778,18,0.7327,5.8012,5.8012,True,100.0
2016-03,31,0.8722,0.8526,18,0.8277,-2.2969,2.9285,False,-78.43
2016-04,20,0.8923,0.9134,29,0.8698,2.305,4.7709,True,48.31
2016-05,18,1.0615,1.1266,18,1.0615,5.7784,5.7784,True,100.0
2016-06,22,1.1592,1.1104,27,1.1104,-4.3987,0.0,False,0.0
2016-07,18,1.3001,1.3759,18,1.3001,5.5119,5.5119,True,100.0
2016-08,18,1.5242,1.513,31,1.5083,-0.7407,0.3088,False,-239.91
2016-09,30,1.6848,1.6361,20,1.5513,-2.9757,5.1849,False,-57.39
2016-10,31,1.7497,1.7379,19,1.6344,-0.6791,5.9564,False,-11.4
2016-11,18,2.2956,2.3188,30,2.2705,0.9978,2.0816,True,47.94
2016-12,21,2.6061,2.8891,19,2.5027,9.7937,13.3736,True,73.23
2017-01,20,2.5613,2.7524,18,2.5352,6.9428,7.8912,True,87.98
2017-02,23,2.4778,2.5744,23,2.4778,3.7544,3.7544,True,100.0
2017-03,20,2.6987,2.6691,21,2.6114,-1.1086,2.1617,False,-51.28
2017-04,18,2.4482,2.6047,18,2.4482,6.011,6.011,True,100.0
